"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_all_are_prime","","Mon Jun 30 22:38:05 IST 2025","passed","Mon Jun 30 22:38:05 IST 2025","","test_prime","",""
"","0","test_known_prime","","Mon Jun 30 22:38:05 IST 2025","passed","Mon Jun 30 22:38:05 IST 2025","","test_prime","",""
"","1","test_known_non_prime","","Mon Jun 30 22:38:05 IST 2025","passed","Mon Jun 30 22:38:05 IST 2025","","test_prime","",""
"","1","test_first_100_primes_length","","Mon Jun 30 22:38:05 IST 2025","passed","Mon Jun 30 22:38:05 IST 2025","","test_prime","",""
